Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Nazaretski, E., Xu, W., Yan, H., Huang, X., Xu, W., Bouet, N., Zhou, J., Coburn, D.S., Lee, W.-K., Ge, M., Huang, L., Idir, M., Chu, Y.S.","6603430533; 26665224400; 8971693700; 55308744700; 8446512200; 36607341600; 56538963600; 7004592836; 57192671198; 20433477400; 55492531400; 6701735338; 7403051054","X-ray microscopy instrumentation developments at NSLS-II: Recent progress and future directions",2019,"Proceedings of SPIE - The International Society for Optical Engineering",11112,"", 111120M,,,,,10.1117/12.2528166,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076529891&partnerID=40&md5=e1188948a653e23587d9e8ad8bd89308",Conference Paper,Final,,Scopus,2-s2.0-85076529891
"Zhou, H., Yang, H., Tang, L., Wang, Y., Li, Y., Liu, N., Zeng, X., Yan, Y., Wu, J., Chen, S., Xiao, L., Yu, Y., Deng, Z., Deng, H., Hong, X., Xiao, Y.","57198956652; 57207200577; 57205595801; 57211417890; 57207040229; 57206787196; 56972972400; 57210389823; 17436207400; 55951802500; 57212568231; 55731455200; 57203906030; 7401775490; 7201551769; 55639763700","Mn-Loaded apolactoferrin dots for: In vivo MRI and NIR-II cancer imaging",2019,"Journal of Materials Chemistry C",7,"31",,9448,9454,,13,10.1039/c9tc01929d,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070538552&partnerID=40&md5=efc0973c114b317294911f97b650b33b",Article,Final,,Scopus,2-s2.0-85070538552
"Perić, M., Radović, M., Mirković, M., Nikolić, A.S., Iskrenović, P., Janković, D., Vranješ-Đurić, S.","57210439800; 55263308600; 25922600900; 7005932028; 7801589932; 7006385094; 12809584300","The analysis of 2,3-dicarboxypropane-1,1-diphosphonic acid-coated magnetite nanoparticles under an external magnetic field and their radiolabeling for possible theranostic applications",2019,"New Journal of Chemistry",43,"15",,5932,5939,,,10.1039/c8nj06478d,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064107332&partnerID=40&md5=93ed11719eae27bdcf7964a5ddd843c3",Article,Final,,Scopus,2-s2.0-85064107332
"Meng, F., Chai, H., Ma, X., Tang, Y., Miao, P.","56457268200; 57204351699; 57199151297; 8589176200; 26633936300","FRET investigation toward DNA tetrahedron-based ratiometric analysis of intracellular telomerase activity",2019,"Journal of Materials Chemistry B",7,"11",,1926,1932,,13,10.1039/C9TB00001A,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062837052&partnerID=40&md5=a99d44eb1061b5162e0e40a9119e1b49",Article,Final,,Scopus,2-s2.0-85062837052
"Crawford, B.M., Strobbia, P., Wang, H.-N., Zentella, R., Boyanov, M.I., Odion, R., Pei, Z.-M., Sun, T.-P., Kemner, K.M., Vo-Dinh, T.","56872472000; 55933474400; 7501731596; 7801621692; 7003863649; 57201061817; 7101715244; 55448791600; 7004105725; 7101999017","In vivo nucleic acid detection and imaging within whole plants using plasmonic nanosensors",2019,"Proceedings of SPIE - The International Society for Optical Engineering",11007,"", 1100708,,,,,10.1117/12.2524840,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072641137&partnerID=40&md5=13ae32b236576b1a3226ba98e61c39da",Conference Paper,Final,,Scopus,2-s2.0-85072641137
"Gao, Y., Jiao, Y., Zhang, H., Lu, W., Liu, Y., Han, H., Gong, X., Li, L., Shuang, S., Dong, C.","57188651041; 57195378236; 57211166278; 56479606900; 57218416733; 57201833402; 55795171700; 36721343500; 7003516023; 55588622000","One-step synthesis of a dual-emitting carbon dot-based ratiometric fluorescent probe for the visual assay of Pb<sup>2+</sup> and PPi and development of a paper sensor",2019,"Journal of Materials Chemistry B",7,"36",,5502,5509,,6,10.1039/c9tb01203f,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072301218&partnerID=40&md5=20fd78d46044f24685e8c656f07cf942",Article,Final,,Scopus,2-s2.0-85072301218
"Ding, F., Chen, Z., Kim, W.Y., Sharma, A., Li, C., Ouyang, Q., Zhu, H., Yang, G., Sun, Y., Kim, J.S.","57210703661; 36609903000; 57199881021; 57215020671; 57201317075; 57207944116; 57202225306; 35270526200; 52164719700; 57204797774","A nano-cocktail of an NIR-II emissive fluorophore and organoplatinum(ii) metallacycle for efficient cancer imaging and therapy",2019,"Chemical Science",10,"29",,7023,7028,,35,10.1039/c9sc02466b,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069786974&partnerID=40&md5=00761bbd225097ead617058e85f9836d",Article,Final,Open Access,Scopus,2-s2.0-85069786974
"Gill, S.K., Ge, M., Yan, H., Sasaki, K., Liang, Z., Isaacs, H., Kisslinger, K., Ecker, L., Chu, Y.S.","57191824976; 20433477400; 8971693700; 9741246500; 25641306900; 7102661974; 6506881271; 6506021662; 7403051054","Quantitative nanoscale 3D imaging of intergranular corrosion of 304 stainless steel using hard X-ray nanoprobe",2019,"Journal of the Electrochemical Society",166,"11",,C3320,C3325,,1,10.1149/2.0401911jes,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073437041&partnerID=40&md5=e4add2f664071f06e8a02aa8da43e9c4",Article,Final,Open Access,Scopus,2-s2.0-85073437041
"Li, J., Tang, K., Yu, J., Wang, H., Tu, M., Wang, X.","57210642053; 57210646841; 55285630600; 56186052100; 57208861972; 57189007240","Nitrogen and chlorine co-doped carbon dots as probe for sensing and imaging in biological samples",2019,"Royal Society Open Science",6,"1", 181557,,,,5,10.1098/rsos.181557,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071177905&partnerID=40&md5=8a7d383d68198b929c00a87e04efc38b",Article,Final,Open Access,Scopus,2-s2.0-85071177905
"Li, H., Li, K., Zeng, Q., Zeng, Y., Chen, D., Pang, L., Chen, X., Zhan, Y.","57200232201; 57129347300; 57189068879; 55940521700; 57212817870; 8956937000; 57204650057; 26322895800","Novel vinyl-modified RGD conjugated silica nanoparticles based on photo click chemistry for: In vivo prostate cancer targeted fluorescence imaging",2019,"RSC Advances",9,"44",,25318,25325,,3,10.1039/c9ra04513a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071150920&partnerID=40&md5=db7742706f008753d8cf76374104d4fa",Article,Final,Open Access,Scopus,2-s2.0-85071150920
"Zheng, C., Zhu, H., Tian, J., Li, Q.","57210218202; 57211883119; 57125253700; 57191694948","Photoacoustic properties of metal-insulator-metal nanostructures",2019,"Proceedings of SPIE - The International Society for Optical Engineering",11170,"", 111703T,,,,,10.1117/12.2534004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069963531&partnerID=40&md5=c59557d3eef34c60c4e4fd4c553cf4b7",Conference Paper,Final,,Scopus,2-s2.0-85069963531
"Chen, L., Lin, M., Yang, P.","57192610208; 56484925000; 56413501700","Reproducible mesoporous silica-coated gold@silver nanoprobes for the bright colorimetric sensing of ascorbic acid",2019,"New Journal of Chemistry",43,"27",,10841,10849,,4,10.1039/c9nj02310k,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068598397&partnerID=40&md5=cb1b35a20652656bc68cb09076b438de",Article,Final,,Scopus,2-s2.0-85068598397
